Date;SWISS CONFEDERATION BOND 1 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 2 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 3 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 4 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 5 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 6 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 7 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 8 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 9 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 10 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 15 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 20 YEAR - RED. YIELD;SWISS CONFEDERATION BOND 30 YEAR - RED. YIELD
30.06.1988;3.641999;3.707;3.764;3.83;3.896999;3.959999;4.016999;4.068999;4.115;4.155;4.297999;4.379999;NA
29.07.1988;4.160999;4.195;4.205999;4.212;4.214999;4.217999;4.219;4.221;4.221999;4.221999;4.224999;4.226;NA
31.08.1988;4.044;3.959;3.943;3.981;4.037;4.096;4.153;4.204;4.250999;4.292;4.431999;4.497999;NA
30.09.1988;3.813999;3.797999;3.870999;3.962;4.040999;4.105;4.155999;4.197;4.23;4.257;4.339;4.381;NA
31.10.1988;4.108;4.157;4.089;4.025;3.985999;3.966999;3.964999;3.974;3.990999;4.014;4.186;4.405999;NA
30.11.1988;4.506;4.29;4.143999;4.054;4.002999;3.981;3.978999;3.990999;4.013;4.042;4.221999;4.386999;NA
30.12.1988;4.691;4.424999;4.24;4.131;4.073999;4.049999;4.047999;4.059999;4.080999;4.106999;4.254;4.374;NA
31.01.1989;5.650999;5.139999;4.862;4.726999;4.653;4.606;4.573999;4.549999;4.530999;4.516999;4.471999;4.45;NA
28.02.1989;6.079;5.521999;5.202;5.03;4.926;4.856999;4.808;4.771;4.742;4.719;4.65;4.615;NA
31.03.1989;5.992999;5.473;5.179;5.035;4.954;4.900999;4.863999;4.835999;4.815;4.797999;4.745999;4.719999;NA
28.04.1989;6.443;5.844999;5.438999;5.231;5.132;5.085999;5.066;5.058;5.054999;5.054;5.058;5.061;NA
31.05.1989;7.445999;6.476;5.926;5.639;5.483;5.391999;5.334;5.294;5.264999;5.242;5.176;5.143;NA
30.06.1989;6.922;6.018999;5.455;5.177999;5.066;5.035;5.040999;5.059999;5.082999;5.105;5.186;5.228999;NA
31.07.1989;6.396999;5.617999;5.273;5.153;5.122999;5.125;5.136;5.15;5.162;5.172999;5.207999;5.226;NA
31.08.1989;7.07;6.145;5.566999;5.297;5.19;5.158999;5.158;5.167999;5.181999;5.195;5.240999;5.264999;NA
29.09.1989;7.606;6.648;5.978999;5.625;5.450999;5.37;5.332;5.316999;5.311999;5.311;5.323;5.330999;NA
31.10.1989;7.533999;6.570999;6.028999;5.742999;5.580999;5.481999;5.417;5.370999;5.337;5.309999;5.233;5.195;NA
30.11.1989;7.455999;6.45;5.919999;5.688999;5.582;5.525999;5.490999;5.467999;5.45;5.436999;5.396;5.375999;NA
29.12.1989;8.068999;6.735999;6.127999;5.875;5.764;5.707;5.672999;5.648999;5.632;5.617999;5.577;5.556;NA
31.01.1990;9.092999;7.648999;6.841;6.455999;6.268999;6.172;6.117;6.082;6.058;6.04;5.990999;5.966999;NA
28.02.1990;8.787999;7.785;7.235999;6.917999;6.714;6.575;6.474;6.398;6.339;6.292;6.15;6.079;NA
30.03.1990;8.683;7.733999;7.162999;6.870999;6.716999;6.627;6.57;6.528999;6.499;6.474999;6.405;6.37;NA
30.04.1990;8.971;7.830999;7.181999;6.881;6.745;6.683;6.655;6.641;6.632999;6.629;6.622;6.618999;NA
31.05.1990;8.014;6.922999;6.530999;6.401999;6.355;6.332999;6.320999;6.311999;6.304999;6.299999;6.285;6.276999;NA
29.06.1990;8.122999;6.988;6.507999;6.323;6.245999;6.207999;6.183999;6.167999;6.155999;6.146999;6.118999;6.105;NA
31.07.1990;8.263;6.931;6.346999;6.143;6.08;6.065;6.065;6.068999;6.073999;6.077999;6.092999;6.099999;NA
31.08.1990;8.320999;7.379999;6.884999;6.665;6.566;6.52;6.5;6.49;6.485999;6.483999;6.483;6.483999;NA
28.09.1990;7.952;7.070999;6.716999;6.598;6.554999;6.535999;6.525;6.518;6.513;6.509;6.497;6.490999;NA
31.10.1990;7.796;6.983;6.695;6.594999;6.552999;6.530999;6.516;6.506;6.497999;6.490999;6.471999;6.462999;NA
30.11.1990;8.36;7.363;6.922999;6.752999;6.676999;6.634999;6.608999;6.589;6.573999;6.563;6.526999;6.509999;NA
31.12.1990;8.151999;7.358;6.926999;6.728;6.643;6.608999;6.598;6.596;6.598;6.601;6.615;6.622999;NA
31.01.1991;7.754999;6.952;6.573999;6.44;6.401999;6.395;6.398999;6.403999;6.41;6.415;6.429999;6.438;NA
28.02.1991;7.66;6.924999;6.533999;6.351999;6.271;6.235999;6.223;6.219;6.219;6.221;6.231;6.237;NA
29.03.1991;7.629;6.702;6.355;6.231;6.184999;6.167;6.16;6.157;6.155999;6.155;6.153;6.151999;NA
30.04.1991;7.809999;6.851;6.424;6.237;6.146;6.096;6.065;6.044;6.028;6.016;5.978999;5.960999;NA
31.05.1991;7.544;6.61;6.129;5.924999;5.844;5.813999;5.806;5.806;5.808999;5.813;5.829;5.837999;NA
28.06.1991;7.643999;6.752999;6.25;6.039;5.964;5.945;5.945999;5.954;5.962999;5.971;6;6.014999;NA
31.07.1991;7.450999;6.695;6.36;6.204;6.122999;6.075999;6.044999;6.023999;6.007999;5.995999;5.959;5.941;NA
30.08.1991;7.500999;6.775;6.462999;6.323999;6.247999;6.2;6.167;6.141999;6.122;6.106999;6.059999;6.035999;NA
30.09.1991;7.389999;6.660999;6.445;6.353;6.301;6.266;6.242;6.223;6.209;6.198;6.164;6.146;NA
31.10.1991;7.839;7.259999;7.047999;6.943999;6.879999;6.834;6.794999;6.761;6.728999;6.698;6.540999;6.384;NA
29.11.1991;7.636;7.056;6.808999;6.700999;6.653;6.634;6.629;6.629;6.632999;6.636999;6.658;6.669999;NA
31.12.1991;7.415;6.577999;6.379;6.349;6.349999;6.356;6.360999;6.365;6.367999;6.37;6.377999;6.382;NA
31.01.1992;7.219999;6.627;6.304;6.179;6.143;6.139999;6.146999;6.157;6.167;6.174999;6.200999;6.214;NA
28.02.1992;7.242;6.697;6.419;6.287999;6.221999;6.186;6.164;6.15;6.139999;6.132;6.11;6.099;NA
31.03.1992;7.917;6.938;6.608;6.535999;6.546;6.575999;6.608;6.634999;6.658;6.676;6.733;6.761999;NA
30.04.1992;8.103999;7.228;6.853999;6.705;6.639;6.603999;6.580999;6.566;6.554;6.544999;6.516999;6.502999;NA
29.05.1992;8.493999;7.521999;7.070999;6.889999;6.827999;6.815;6.820999;6.834;6.848;6.860999;6.905999;6.929999;NA
30.06.1992;8.513;7.622;7.27;7.122;7.047999;7.004;6.974999;6.952999;6.936999;6.924;6.884999;6.865;NA
31.07.1992;8.322;7.65;7.309999;7.143;7.047999;6.987;6.943999;6.912;6.886999;6.867;6.806999;6.778;NA
31.08.1992;7.7;7.292;7.061;6.959;6.912999;6.889;6.875;6.865999;6.858999;6.853999;6.837999;6.83;NA
30.09.1992;6.959;6.778999;6.606;6.478;6.393;6.341;6.311999;6.297999;6.292;6.292;6.311999;6.33;NA
30.10.1992;5.95;5.820999;5.790999;5.816;5.865;5.922999;5.978999;6.028;6.065;6.091999;6.061999;5.851;NA
30.11.1992;6.063999;5.886999;5.844999;5.867;5.912999;5.962999;6.006;6.037999;6.056;6.063;5.960999;5.761999;NA
31.12.1992;5.797;5.528999;5.433;5.427999;5.466;5.518999;5.573;5.618999;5.655;5.679999;5.662999;5.525999;NA
29.01.1993;5.139;5.113999;5.139999;5.195;5.263;5.332999;5.398999;5.455999;5.502999;5.539;5.549;5.36;NA
26.02.1993;4.893999;4.785;4.825999;4.872;4.898999;4.910999;4.914;4.912999;4.91;4.907;4.895;4.888;NA
31.03.1993;4.509;4.443999;4.474999;4.521999;4.566;4.601999;4.631;4.653999;4.672999;4.688;4.733;4.756;NA
30.04.1993;4.469999;4.266999;4.346;4.473;4.582;4.665999;4.728999;4.776999;4.815;4.844999;4.936;4.981;NA
31.05.1993;4.625999;4.257;4.238999;4.348;4.474;4.584;4.672999;4.742999;4.799999;4.846;4.985;5.054;NA
30.06.1993;4.54;4.363999;4.351999;4.389;4.431999;4.471;4.502999;4.528999;4.549;4.566;4.617;4.643;NA
30.07.1993;4.316999;4.259;4.308;4.375999;4.433999;4.478999;4.509999;4.53;4.542;4.546;4.5;4.389999;NA
31.08.1993;4.335999;4.224999;4.268;4.334999;4.391999;4.431999;4.457;4.471;4.478;4.478999;4.452999;4.417999;NA
30.09.1993;4.212999;4.110999;4.132;4.195;4.264;4.325;4.374;4.410999;4.438;4.455;4.452;4.379;NA
29.10.1993;3.999;3.888;3.926;3.992999;4.056;4.105;4.141999;4.169999;4.191999;4.207999;4.250999;4.268;NA
30.11.1993;3.867;3.766999;3.830999;3.926999;4.014999;4.087;4.143;4.186;4.219999;4.247;4.327999;4.367999;NA
31.12.1993;3.551999;3.457;3.533999;3.658;3.780999;3.886;3.971;4.039;4.092999;4.136;4.261;4.320999;NA
31.01.1994;3.653;3.542999;3.613;3.733;3.853999;3.957;4.042;4.108999;4.162999;4.205999;4.330999;4.391;NA
28.02.1994;3.806;3.686;3.806999;3.969;4.108999;4.219999;4.304999;4.370999;4.422999;4.464999;4.591;4.653999;NA
31.03.1994;3.941;3.948;4.035;4.146;4.257999;4.358;4.445;4.518999;4.582;4.634;4.801999;4.889;NA
29.04.1994;4.033;4.193;4.346999;4.49;4.620999;4.737;4.839;4.926;5.000999;5.061999;5.217999;5.202999;NA
31.05.1994;4.044999;3.978;4.131;4.334;4.523;4.681;4.806999;4.907;4.983999;5.046;5.223;5.306999;NA
30.06.1994;4.367;4.342999;4.513;4.721;4.896999;5.033999;5.139;5.219;5.283;5.334;5.488;5.565;NA
29.07.1994;4.452;4.448999;4.551999;4.700999;4.846;4.969999;5.070999;5.153;5.219;5.273;5.438999;5.523;NA
31.08.1994;4.605;4.775999;4.919;5.049;5.16;5.252999;5.33;5.393999;5.447;5.492;5.636999;5.712999;NA
30.09.1994;4.535;4.842999;5.04;5.188;5.306;5.401999;5.48;5.542999;5.594;5.636;5.761999;5.820999;NA
31.10.1994;4.335999;4.761;5.021;5.188;5.301999;5.384999;5.45;5.504;5.551;5.594;5.757999;5.868999;NA
30.11.1994;4.424;4.723;4.915;5.051;5.148;5.217999;5.271;5.311;5.342999;5.367999;5.445;5.483;NA
30.12.1994;4.585999;4.717999;4.841999;4.957;5.051;5.125999;5.186;5.233999;5.271999;5.304;5.400999;5.45;NA
31.01.1995;4.422999;4.639999;4.799;4.931999;5.04;5.125;5.191999;5.245;5.287;5.322;5.429;5.483;NA
28.02.1995;4.259;4.594999;4.790999;4.929999;5.035999;5.12;5.188;5.242999;5.287999;5.325;5.44;5.499;NA
31.03.1995;3.811999;4.2;4.466999;4.662;4.808;4.919999;5.007;5.077;5.132999;5.179;5.320999;5.393;NA
28.04.1995;3.643999;3.955;4.205999;4.41;4.573999;4.707;4.815;4.901999;4.974;5.033;5.219;5.313999;NA
31.05.1995;3.48;3.815;4.068999;4.268;4.426;4.554;4.658;4.742999;4.813999;4.872999;5.063;5.162;NA
30.06.1995;3.322;3.681999;3.969;4.200999;4.389999;4.544999;4.671;4.775999;4.863;4.936;5.167999;5.289;NA
31.07.1995;3.033999;3.459999;3.799;4.068999;4.283999;4.455;4.591999;4.700999;4.787999;4.858999;5.052999;5.127;NA
31.08.1995;3.065;3.460999;3.747999;3.976;4.164;4.318999;4.448999;4.558;4.650999;4.73;4.992999;5.134999;NA
29.09.1995;2.58;2.945;3.247999;3.52;3.761;3.971;4.153;4.308;4.441;4.554999;4.929999;5.129;NA
31.10.1995;2.186999;2.757999;3.117;3.391999;3.622999;3.820999;3.992;4.139999;4.268;4.379999;4.759;4.966999;NA
30.11.1995;1.896;2.259;2.679999;3.042999;3.330999;3.554;3.726999;3.862;3.969999;4.056999;4.322;4.455;NA
29.12.1995;1.783;2.278;2.75;3.122999;3.405;3.618999;3.782;3.908999;4.009999;4.089999;4.322;4.429999;NA
31.01.1996;1.797999;2.242;2.69;3.091999;3.433;3.716999;3.950999;4.143999;4.304;4.436999;4.86;5.077999;NA
29.02.1996;1.882999;2.377999;2.778999;3.113999;3.398999;3.645;3.858999;4.047;4.212;4.358;4.877999;5.183999;NA
29.03.1996;1.829;2.223;2.632999;3.011;3.344;3.631;3.875;4.082;4.257;4.405999;4.889999;5.143999;NA
30.04.1996;1.867;2.169999;2.533999;2.896;3.228;3.52;3.773;3.988999;4.172;4.329;4.839999;5.108999;NA
31.05.1996;2.639;2.9;3.2;3.497999;3.773999;4.018999;4.231999;4.415999;4.573999;4.709999;5.157;5.395;NA
28.06.1996;2.594;2.761;3.129999;3.500999;3.813;4.061;4.254;4.407;4.528;4.627;4.926;5.075999;NA
31.07.1996;2.516999;2.73;3.066999;3.400999;3.695;3.941;4.143999;4.311;4.448;4.561;4.914;5.094;NA
