Date	ABB	Actelion	Adecco	Alusuisse	Baloise	Ciba_SC	Ciba_Geigy_I	Ciba_Geigy_PS	Clariant	Compagnie_Financiere_Richemont	Credit_Suisse_Group	Credit_Suisse_Holding	Elektrowatt	EMS_Chemie_Holding	Geberit	Georg_Fischer	Givaudan	Holcim	Jacobs_Suchard	Julius_Baer_Group	Kudelski	LafargeHolcim	Lonza_Group	Merck_Serono	Nestle_I	Nestle_PS	Nobel_Biocare_Holding	Novartis_I	Novartis_N	OC_Oerlikon_Corporation	Pargesa_Holding	Roche_Holding	SAirGroup	Sandoz_PS	Sandoz_N	Schweizerische_Volksbank_StN	Schweizerische_Volksbank_ST	SGS	Sika	Societe_Internationale_Pirelli	Sulzer	Swiss_Bank_I	Swiss_Bank_PS	Swiss_Bank_N	Swiss_Life_Holding_I	Swiss_Life_Holding_N	Swiss_Re	Swissair	Swisscom	Syngenta	Synthes	The_Swatch_Group_I	The_Swatch_Group_N	Transocean	UBS_N	UBS_PS	UBS_I	Winterthur	Zurich_Insurance_Group_I	Zurich_Insurance_Group_N
1988-06-30	5.294	NA	155.845	NA	NA	NA	668.55	305.75	NA	NA	NA	76.45	296.7	NA	NA	NA	NA	98.75	7890	NA	NA	NA	NA	NA	834.87	4.103	NA	NA	NA	17.294	30.672	11.166	NA	467.5	NA	158.67	NA	NA	NA	222.89	NA	351	292	NA	NA	NA	16.554	1068.24	NA	NA	NA	NA	NA	NA	NA	112.5	610.87	955.02	1406.93	NA
1988-07-29	4.987529355	NA	157.3090975	NA	NA	NA	650.4394857	302.4267612	NA	NA	NA	77.31461892	294.9222205	NA	NA	NA	NA	97.97354905	7713.598795	NA	NA	NA	NA	NA	818.4057871	4.017985704	NA	NA	NA	16.325	31.16845949	11.33923945	NA	492.2051772	NA	156.3296731	NA	NA	NA	218.0236604	NA	381.0663859	300.0628474	NA	NA	NA	16.66543009	1128.031594	NA	NA	NA	NA	NA	NA	NA	116.5205577	650.1241171	973.8554415	1398.424494	NA
1988-08-31	5.060130423	NA	162.4755304	NA	NA	NA	650.0730289	316.8829218	NA	NA	NA	76.06705257	288.1774521	NA	NA	NA	NA	97.66589387	7526.882894	NA	NA	NA	NA	NA	819.1218941	4.14737481	NA	NA	NA	19.715	31.86404058	11.13929202	NA	478.9127718	NA	155.9478158	NA	NA	NA	214.8327219	NA	359.0700738	293.1005677	NA	NA	NA	16.85919785	1088.011932	NA	NA	NA	NA	NA	NA	NA	114.4036344	628.408718	938.8465972	1321.178321	NA
1988-09-30	5.544738771	NA	171.7184089	NA	NA	NA	670.4527975	329.3811524	NA	NA	NA	81.6630411	281.9180343	NA	NA	184.8188476	NA	98.75277975	7791.451577	NA	NA	NA	NA	NA	863.1979303	4.169503757	NA	NA	NA	21.444	33.85736528	11.96699598	NA	482.192976	NA	154.5766163	NA	NA	NA	210.7669708	NA	378.248139	306.2573508	NA	NA	NA	17.02615791	1109.918959	NA	NA	NA	NA	NA	NA	NA	115.807037	645.1836366	1011.607884	1376.596142	NA
1988-10-31	5.95259709	NA	176.0559583	NA	NA	NA	687.8816635	355.8038977	NA	NA	NA	88.19709804	295.5673391	NA	NA	180.5988422	NA	100.3938106	7734.776298	NA	NA	NA	NA	NA	878.2340291	4.3137672	NA	NA	NA	20.96	32.46087838	11.88398851	NA	480.6034296	NA	NA	NA	NA	NA	228.8717062	NA	395.4616033	317.4386743	NA	NA	NA	17.63574489	1136.673978	NA	NA	NA	NA	NA	NA	NA	124.8013271	683.7971257	1002.617753	1413.940542	NA
1988-11-30	6.192104414	NA	171.540929	NA	NA	NA	537.0774374	402.1450169	NA	NA	NA	82.64030889	278.2840475	NA	NA	170.9432091	NA	95.78827014	6912.56094	NA	NA	NA	NA	NA	680.3979098	5.909228032	NA	NA	NA	21.79	30.75903649	11.70660735	NA	413.5515923	NA	NA	NA	NA	NA	214.1438789	NA	368.219838	301.2743224	NA	NA	NA	19.16236966	1048.378359	NA	NA	NA	NA	NA	NA	NA	116.0677039	623.137503	828.9024618	1149.198377	NA
1988-12-30	6.153438896	NA	168.6005553	NA	NA	NA	524.8193318	422.6713375	NA	NA	NA	83.22707179	285.9973302	NA	NA	190.7903963	NA	95.94255199	6890.958895	NA	NA	NA	NA	NA	717.7451092	6.622967608	NA	NA	NA	25.456	32.87161611	11.85744624	NA	374.799934	NA	NA	NA	NA	NA	218.2933155	NA	344.9534506	298.283316	NA	NA	NA	20.69030966	1041.595121	NA	NA	NA	NA	NA	NA	NA	116.9762061	640.0519035	759.5289393	1043.871315	NA
1989-01-31	6.51712246	NA	153.9874644	NA	NA	NA	599.8470523	447.2227855	NA	NA	NA	86.42700275	296.7334142	NA	NA	199.0008352	NA	95.15829389	7268.732292	NA	NA	NA	NA	NA	729.873145	6.733739468	NA	NA	NA	26.771	31.96597302	12.92228438	NA	383.9679945	NA	NA	NA	NA	NA	229.3499848	NA	345.0203442	303.4539047	NA	NA	NA	19.88508429	986.5795675	NA	NA	NA	NA	NA	NA	NA	124.0184842	656.0211748	749.6038393	1075.263101	NA
1989-02-28	6.589142386	NA	150.7519346	NA	NA	NA	626.4937839	514.9387619	NA	NA	NA	82.52522087	292.4018776	NA	NA	211.1302474	NA	94.38290012	7368.612933	NA	NA	NA	NA	NA	699.3236377	6.354294328	NA	NA	NA	25.595	31.46133488	12.8148759	NA	387.260731	NA	NA	NA	NA	NA	241.3172352	NA	323.6478977	281.9860535	NA	NA	NA	20.0807599	999.1166615	NA	NA	NA	NA	NA	NA	NA	115.1965025	613.8561278	741.4648511	1054.570668	NA
1989-03-31	7.222489089	NA	147.4171236	NA	NA	NA	691.951799	567.7593195	NA	NA	NA	90.08922122	295.1251018	NA	NA	227.2846487	NA	95.37845604	7423.022879	NA	NA	NA	NA	NA	725.6309052	6.5918545	NA	NA	NA	28.293	33.39125216	13.85818901	NA	397.4569349	NA	NA	NA	NA	NA	239.4184938	NA	331.9056414	301.6029754	NA	NA	NA	21.33686671	1070.029054	NA	NA	NA	NA	NA	NA	NA	121.2578569	652.0699799	780.336714	1160.056579	NA
1989-04-28	7.837833487	NA	159.9426797	NA	NA	NA	701.7419308	589.6124928	NA	NA	NA	89.96243512	295.8314086	NA	NA	219.9640213	NA	99.8658508	7517.108031	NA	NA	NA	NA	NA	752.9767968	6.716546721	NA	NA	NA	27.324	34.71612831	15.27979781	NA	444.9541177	NA	NA	NA	NA	NA	254.0659992	NA	329.9152635	294.4366244	NA	NA	NA	23.13908833	1014.693471	NA	NA	NA	NA	NA	NA	NA	120.1152479	656.0677916	851.8548527	1215.851488	NA
1989-05-31	8.476166417	NA	156.0217926	NA	NA	NA	710.5405024	552.3375985	NA	NA	NA	85.62261949	282.3520231	NA	NA	222.0526875	NA	106.6392142	7019.890603	NA	NA	NA	NA	NA	710.4803004	6.371558572	NA	NA	NA	26.84	35.8464519	15.24428234	NA	416.8639898	NA	NA	NA	NA	NA	273.1156061	NA	302.1419205	275.8380059	NA	NA	NA	20.93150723	1044.936701	NA	NA	NA	NA	NA	NA	NA	117.933017	619.5815045	789.3796187	1100.37548	NA
1989-06-30	9.721655158	NA	162.4645299	NA	NA	NA	777.2344976	650.5812018	NA	NA	NA	87.75701227	302.3582507	NA	NA	248.5564332	NA	115.3069723	7211.750099	NA	NA	NA	NA	NA	802.2611292	7.464692138	NA	NA	NA	27.808	35.48662477	15.93841159	NA	472.3110686	NA	NA	171.1129026	NA	NA	330.7443296	NA	348.7719817	294.6377838	NA	NA	NA	21.59068509	1093.288318	NA	NA	NA	NA	NA	NA	NA	121.9774744	678.4603517	813.0259944	1161.982761	NA
1989-07-31	9.674292142	NA	165.034519	NA	NA	NA	839.9949386	658.4483617	NA	NA	NA	101.0040561	318.3453204	NA	NA	NA	NA	113.4071217	7542.989091	NA	NA	NA	NA	NA	857.8350077	8.242277542	NA	NA	NA	28.846	38.29480416	18.06933294	NA	472.7028686	NA	NA	186.7822707	NA	NA	353.3923548	NA	387.2458602	317.6890029	NA	NA	NA	25.40441592	1187.111693	NA	NA	NA	NA	NA	NA	NA	134.3772522	780.2954122	949.3128722	1388.269751	NA
1989-08-31	11.04672018	NA	171.975572	NA	NA	NA	901.8241554	709.6268993	NA	NA	NA	102.9659033	311.9205621	NA	NA	NA	NA	111.8820488	7725.83421	NA	NA	NA	NA	NA	905.3232081	8.603113119	NA	NA	NA	28.5	37.26120652	20.25618134	NA	504.6029251	NA	NA	183.8756855	NA	NA	361.151135	NA	384.1909942	322.9961334	NA	NA	NA	24.94228962	1458.007823	NA	NA	NA	NA	NA	NA	NA	144.2005308	829.2938138	964.9462587	1405.53694	NA
1989-09-29	10.94355692	NA	176.0059545	NA	NA	NA	833.5873614	658.0413081	NA	NA	NA	98.15779389	321.8399382	NA	NA	NA	NA	111.1217665	7114.877434	NA	NA	NA	NA	NA	882.2205379	8.556974256	NA	NA	NA	28.915	37.68575383	18.25780152	NA	508.9418602	NA	NA	175.4028272	NA	NA	376.8527964	NA	373.819135	308.3312212	NA	NA	NA	25.0416863	1364.989537	NA	NA	NA	NA	NA	NA	NA	135.6987187	782.1701611	970.8556538	1319.34404	NA
1989-10-31	11.58485578	NA	155.1431609	NA	NA	NA	754.2694345	604.3749296	NA	NA	NA	91.31609346	292.9087092	NA	NA	NA	NA	109.3970265	6647.059317	NA	NA	NA	NA	NA	843.6933915	8.280238494	NA	NA	NA	27.324	35.49374531	16.87023199	NA	454.1006257	NA	NA	172.9821333	NA	NA	360.0750482	NA	353.9923739	291.5009251	NA	NA	NA	24.92979243	1256.530291	NA	NA	NA	NA	NA	NA	NA	130.8524623	746.2105772	888.9533751	1215.802158	NA
1989-11-30	11.63888516	NA	165.4005965	NA	NA	NA	761.1225238	595.1068393	NA	NA	NA	98.46445111	290.614634	NA	NA	NA	NA	118.709179	6997.180172	NA	NA	NA	NA	NA	891.9362891	8.648139685	NA	NA	NA	21.098	36.65553858	18.13472954	NA	448.575347	NA	NA	190.9048046	NA	NA	353.7449008	NA	370.8669007	311.7073927	NA	NA	NA	26.37763499	1336.016322	NA	NA	NA	NA	NA	NA	NA	142.8762313	804.8566247	870.4544293	1309.642068	NA
1989-12-29	11.60350938	NA	152.1935135	NA	NA	NA	751.915629	585.81562	NA	NA	NA	98.98181914	291.4090367	NA	NA	NA	NA	111.0813858	7025.938708	NA	NA	NA	NA	NA	909.3758905	8.920217949	NA	NA	NA	20.683	37.71641437	17.65529835	NA	455.8767249	NA	NA	188.9798147	NA	NA	368.3220568	NA	368.8270068	302.1969647	NA	NA	NA	23.749101	1242.315404	NA	NA	NA	NA	NA	NA	NA	156.5221278	848.1657374	861.7082067	1291.144052	NA
