Date;SMI;SMI Total Return
30.06.1988;1500;NA
29.07.1988;1505.8;NA
31.08.1988;1479.1;NA
30.09.1988;1543.4;NA
31.10.1988;1590.8;NA
30.11.1988;1428;NA
30.12.1988;1435.4;NA
31.01.1989;1490.5;NA
28.02.1989;1450.1;NA
31.03.1989;1527.7;NA
28.04.1989;1576.9;NA
31.05.1989;1519.8;NA
30.06.1989;1638.9;NA
31.07.1989;1795.4;NA
31.08.1989;1880.1;NA
29.09.1989;1796.8;NA
31.10.1989;1695.5;NA
30.11.1989;1779.1;NA
29.12.1989;1778.1;NA
31.01.1990;1715.9;NA
28.02.1990;1692.3;NA
30.03.1990;1642.8;NA
30.04.1990;1561.6;NA
31.05.1990;1779.8;NA
29.06.1990;1808.3;NA
31.07.1990;1762.2;NA
31.08.1990;1530.6;NA
28.09.1990;1351;NA
31.10.1990;1417.9;NA
30.11.1990;1384.9;NA
31.12.1990;1389.3;NA
31.01.1991;1434.3;NA
28.02.1991;1578.7;NA
29.03.1991;1649.4;NA
30.04.1991;1659.5;NA
31.05.1991;1740.8;NA
28.06.1991;1664.3;NA
31.07.1991;1727.2;NA
30.08.1991;1736.6;NA
30.09.1991;1664.7;NA
31.10.1991;1683.9;NA
29.11.1991;1622.6;NA
31.12.1991;1670.1;NA
31.01.1992;1753.5;NA
28.02.1992;1840.6;NA
31.03.1992;1837.2;NA
30.04.1992;1880.1;NA
29.05.1992;1920.6;NA
30.06.1992;1854.8;NA
31.07.1992;1798.1;NA
31.08.1992;1751.7;NA
30.09.1992;1878.3;NA
30.10.1992;1911.1;NA
30.11.1992;1931.2;NA
31.12.1992;2105.4;NA
29.01.1993;2091;NA
26.02.1993;2100.6;NA
31.03.1993;2190.3;NA
30.04.1993;2129.7;2369
31.05.1993;2271.6;2547.5
30.06.1993;2376.2;2689.2
30.07.1993;2400.9;2716.6
31.08.1993;2488.5;2817.7
30.09.1993;2472.9;2798.3
29.10.1993;2722.4;3081.3
30.11.1993;2738.6;3098.6
31.12.1993;2956.7;3347
31.01.1994;3178.1;3596.9
28.02.1994;2915.9;3268.5
31.03.1994;2795.4;3164.5
29.04.1994;2738.4;3110.9
31.05.1994;2722.6;3123.7
30.06.1994;2609;3035.1
29.07.1994;2579.3;2976.4
31.08.1994;2645.3;3052.6
30.09.1994;2534.4;2924.3
31.10.1994;2508.5;2892.1
30.11.1994;2594.2;2995.7
30.12.1994;2629.3;3034.8
31.01.1995;2536.5;2928.7
28.02.1995;2600;3002.1
31.03.1995;2508;2896.4
28.04.1995;2597.2;3007.8
31.05.1995;2785.6;3251
30.06.1995;2825.3;3328.1
31.07.1995;2827;3329.9
31.08.1995;2909.6;3426.5
29.09.1995;3013.9;3551.4
31.10.1995;3108.1;3661.4
30.11.1995;3251.2;3830.3
29.12.1995;3299.2;3887.2
